2018-08-27 15:35:13,731 extension        L0189 DEBUG| found extension EntryPoint.parse('journal = avocado.plugins.journal:JournalResult')
2018-08-27 15:35:13,732 extension        L0189 DEBUG| found extension EntryPoint.parse('tap = avocado.plugins.tap:TAPResult')
2018-08-27 15:35:13,732 extension        L0189 DEBUG| found extension EntryPoint.parse('human = avocado.plugins.human:Human')
2018-08-27 15:35:13,733 extension        L0189 DEBUG| found extension EntryPoint.parse('vt-joblock = avocado_vt.plugins.vt_joblock:VTJobLock')
2018-08-27 15:35:13,734 extension        L0189 DEBUG| found extension EntryPoint.parse('teststmpdir = avocado.plugins.teststmpdir:TestsTmpDir')
2018-08-27 15:35:13,734 extension        L0189 DEBUG| found extension EntryPoint.parse('jobscripts = avocado.plugins.jobscripts:JobScripts')
2018-08-27 15:35:13,735 extension        L0189 DEBUG| found extension EntryPoint.parse('human = avocado.plugins.human:HumanJob')
2018-08-27 15:35:13,740 extension        L0189 DEBUG| found extension EntryPoint.parse('yaml_to_mux = avocado_varianter_yaml_to_mux:YamlToMux')
2018-08-27 15:35:13,742 sysinfo          L0392 DEBUG| File /etc/avocado/sysinfo/commands does not exist.
2018-08-27 15:35:13,742 sysinfo          L0403 DEBUG| File /etc/avocado/sysinfo/files does not exist.
2018-08-27 15:35:13,742 sysinfo          L0430 DEBUG| File /etc/avocado/sysinfo/profilers does not exist.
2018-08-27 15:35:13,969 job              L0327 INFO | Command line: /usr/local/bin/avocado run avocado-misc-tests/kernel/rmaptest.py -m avocadormaptest.starship.yaml
2018-08-27 15:35:13,969 job              L0328 INFO | 
2018-08-27 15:35:13,969 job              L0362 INFO | Avocado version: 58.0
2018-08-27 15:35:13,970 job              L0363 INFO | 
2018-08-27 15:35:13,970 job              L0367 INFO | Config files read (in order):
2018-08-27 15:35:13,970 job              L0369 INFO | /usr/local/lib/python2.7/dist-packages/avocado_framework-58.0-py2.7.egg/avocado/etc/avocado/avocado.conf
2018-08-27 15:35:13,970 job              L0369 INFO | /usr/local/lib/python2.7/dist-packages/avocado_framework-58.0-py2.7.egg/avocado/etc/avocado/conf.d/jobscripts.conf
2018-08-27 15:35:13,970 job              L0369 INFO | /usr/local/lib/python2.7/dist-packages/avocado_framework-58.0-py2.7.egg/avocado/etc/avocado/conf.d/gdb.conf
2018-08-27 15:35:13,970 job              L0369 INFO | /usr/local/lib/python2.7/dist-packages/avocado_framework-58.0-py2.7.egg/avocado/etc/avocado/conf.d/result_upload.conf
2018-08-27 15:35:13,970 job              L0369 INFO | /usr/local/lib/python2.7/dist-packages/avocado_framework-58.0-py2.7.egg/avocado/etc/avocado/conf.d/resultsdb.conf
2018-08-27 15:35:13,970 job              L0369 INFO | /home/jenkins/.config/avocado/avocado.conf
2018-08-27 15:35:13,970 job              L0374 INFO | 
2018-08-27 15:35:13,970 job              L0376 INFO | Avocado config:
2018-08-27 15:35:13,972 job              L0385 INFO | Section.Key                              Value
2018-08-27 15:35:13,972 job              L0385 INFO | datadir.paths.base_dir                   /var/lib/avocado
2018-08-27 15:35:13,972 job              L0385 INFO | datadir.paths.test_dir                   /usr/share/avocado/tests
